curso_codigo,curso_nome,masc_branca,masc_preta,masc_parda,fem_branca,fem_preta,fem_parda
2915,ABI - ARTES CÊNICAS,11,4,3,26,1,1
5000645,ABI - ARTES CÊNICAS,22,3,23,40,0,29
5000918,ABI - ARTES CÊNICAS,9,1,10,9,3,19
5001035,ABI - ARTES CÊNICAS,11,3,4,17,2,11
5001112,ABI - ARTES CÊNICAS,12,4,2,35,2,4
2922,ABI - ARTES VISUAIS,37,1,10,55,2,7
5000699,ABI - ARTES VISUAIS,12,4,9,26,2,13
5000748,ABI - ARTES VISUAIS,18,2,2,37,0,3
5000971,ABI - ARTES VISUAIS,66,0,2,103,0,5
5001026,ABI - ARTES VISUAIS,25,1,14,59,2,7
5001169,ABI - ARTES VISUAIS,19,8,14,22,1,21
5001184,ABI - CIÊNCIA DA COMPUTAÇÃO,11,5,14,3,4,12
5000598,ABI - CIÊNCIAS BIOLÓGICAS,0,0,2,0,0,0
5000608,ABI - CIÊNCIAS BIOLÓGICAS,62,5,17,84,13,37
5000620,ABI - CIÊNCIAS BIOLÓGICAS,94,4,10,149,12,20
5000632,ABI - CIÊNCIAS BIOLÓGICAS,38,7,32,60,8,46
5000646,ABI - CIÊNCIAS BIOLÓGICAS,27,3,18,83,4,42
5000658,ABI - CIÊNCIAS BIOLÓGICAS,35,7,45,58,16,57
5000669,ABI - CIÊNCIAS BIOLÓGICAS,83,5,28,131,14,64
5000745,ABI - CIÊNCIAS BIOLÓGICAS,12,1,1,23,0,3
5000755,ABI - CIÊNCIAS BIOLÓGICAS,45,0,4,68,0,6
5000756,ABI - CIÊNCIAS BIOLÓGICAS,10,0,0,6,1,1
5000765,ABI - CIÊNCIAS BIOLÓGICAS,28,1,2,51,0,6
5000768,ABI - CIÊNCIAS BIOLÓGICAS,25,2,3,36,2,3
5000824,ABI - CIÊNCIAS BIOLÓGICAS,67,1,3,95,4,8
5000847,ABI - CIÊNCIAS BIOLÓGICAS,86,1,10,103,2,16
5000848,ABI - CIÊNCIAS BIOLÓGICAS,69,0,9,95,0,8
5000854,ABI - CIÊNCIAS BIOLÓGICAS,0,0,1,0,0,0
5000972,ABI - CIÊNCIAS BIOLÓGICAS,76,2,2,220,1,3
5001027,ABI - CIÊNCIAS BIOLÓGICAS,25,1,1,47,1,5
5001036,ABI - CIÊNCIAS BIOLÓGICAS,16,3,13,26,1,18
5001111,ABI - CIÊNCIAS BIOLÓGICAS,28,1,2,42,3,4
5001117,ABI - CIÊNCIAS BIOLÓGICAS,1,1,14,2,0,27
5001124,ABI - CIÊNCIAS BIOLÓGICAS,5,1,3,18,1,4
5001175,ABI - CIÊNCIAS BIOLÓGICAS,3,0,0,2,1,1
5001259,ABI - CIÊNCIAS BIOLÓGICAS,3,0,2,5,0,1
5001263,ABI - CIÊNCIAS BIOLÓGICAS,13,1,1,27,0,6
5001275,ABI - CIÊNCIAS BIOLÓGICAS,4,0,2,27,0,9
5001278,ABI - CIÊNCIAS BIOMÉDICAS,10,0,1,12,0,0
44249,ABI - CIÊNCIAS DA NATUREZA,36,16,15,120,30,58
1106847,ABI - CIÊNCIAS DA NATUREZA,35,9,13,49,7,16
2928,ABI - CIÊNCIAS EXATAS,54,4,5,48,3,9
5000602,ABI - CIÊNCIAS SOCIAIS,9,2,13,7,2,10
5000609,ABI - CIÊNCIAS SOCIAIS,11,4,11,7,3,2
5000622,ABI - CIÊNCIAS SOCIAIS,148,8,16,137,9,13
5000635,ABI - CIÊNCIAS SOCIAIS,33,10,33,28,13,29
5000659,ABI - CIÊNCIAS SOCIAIS,22,6,17,11,2,20
5000738,ABI - CIÊNCIAS SOCIAIS,86,9,19,76,7,12
5000746,ABI - CIÊNCIAS SOCIAIS,90,17,25,97,10,24
5000903,ABI - CIÊNCIAS SOCIAIS,4,2,6,11,1,10
5000922,ABI - CIÊNCIAS SOCIAIS,16,6,14,14,8,19
5000973,ABI - CIÊNCIAS SOCIAIS,38,0,1,63,1,1
5001037,ABI - CIÊNCIAS SOCIAIS,26,10,34,43,11,39
5001113,ABI - CIÊNCIAS SOCIAIS,13,3,11,32,1,11
5001116,ABI - CIÊNCIAS SOCIAIS,6,1,11,3,3,9
5001118,ABI - CIÊNCIAS SOCIAIS,1,1,14,1,3,22
5001125,ABI - CIÊNCIAS SOCIAIS,9,1,2,11,4,3
5001119,ABI - COMPOSIÇÃO E REGÊNCIA,0,0,1,0,0,1
5000682,ABI - COMUNICAÇÃO SOCIAL,33,6,54,89,9,58
5001038,ABI - COMUNICAÇÃO SOCIAL,17,2,15,40,7,22
5000603,ABI - DANÇA,0,2,2,6,1,2
5001266,ABI - DANÇA,0,0,3,3,3,8
5000741,ABI - DESIGN,74,2,4,76,3,7
5001039,ABI - DESIGN,10,3,3,9,0,5
91601,ABI - ECONOMIA EMPRESARIAL E CONTROLADORIA,118,2,12,70,1,1
5000599,ABI - EDUCAÇÃO FÍSICA,39,5,26,17,4,13
5000610,ABI - EDUCAÇÃO FÍSICA,175,31,42,120,15,37
5000751,ABI - EDUCAÇÃO FÍSICA,102,5,4,72,3,3
5000949,ABI - EDUCAÇÃO FÍSICA,1,0,0,0,0,0
5000974,ABI - EDUCAÇÃO FÍSICA,147,5,6,109,2,7
5001028,ABI - EDUCAÇÃO FÍSICA,147,4,15,65,1,11
5001276,ABI - EDUCAÇÃO FÍSICA,47,9,19,28,3,13
5000825,ABI - EDUCAÇÃO FÍSICA E ESPORTE,131,8,13,96,1,7
5000837,ABI - EDUCAÇÃO FÍSICA E ESPORTE,78,5,6,55,2,6
5000612,ABI - ENFERMAGEM,19,5,17,182,36,87
5001126,ABI - ENFERMAGEM,2,0,0,1,4,3
46602,ABI - ENGENHARIA,1732,22,201,392,5,44
5000587,ABI - ENGENHARIA,460,95,386,127,26,97
5000630,ABI - ENGENHARIA,386,7,136,178,3,60
5000665,ABI - ENGENHARIA,162,12,56,22,1,9
5001187,ABI - ENGENHARIA,52,3,21,39,1,17
5000718,ABI - ENGENHARIA DE ENERGIAS E MEIO AMBIENTE,9,2,4,4,1,7
5001264,ABI - ENGENHARIA DE MINAS,0,2,8,0,1,3
18654,ABI - ENGENHARIA MECÂNICA,158,0,15,18,0,2
5000611,ABI - FILOSOFIA,58,15,17,31,5,9
5000623,ABI - FILOSOFIA,162,5,17,89,2,5
5000660,ABI - FILOSOFIA,13,5,18,11,2,7
5000747,ABI - FILOSOFIA,51,3,14,24,2,3
5000775,ABI - FILOSOFIA,16,0,11,10,1,8
5000924,ABI - FILOSOFIA,14,8,17,13,1,7
5001040,ABI - FILOSOFIA,15,7,12,15,1,9
5001115,ABI - FILOSOFIA,5,4,17,3,0,12
5001120,ABI - FILOSOFIA,0,2,11,0,1,4
5001127,ABI - FILOSOFIA,11,2,0,4,1,0
5000948,ABI - FORMAÇÃO INTERDISCIPLINAR,217,105,882,244,88,967
2861,ABI - FÍSICA,326,13,44,80,2,8
2885,ABI - FÍSICA,76,1,7,20,0,2
5000600,ABI - FÍSICA,11,1,18,3,1,3
5000613,ABI - FÍSICA,13,6,5,3,0,3
5000661,ABI - FÍSICA,38,8,32,18,0,14
5000744,ABI - FÍSICA,66,2,19,32,0,7
5000752,ABI - FÍSICA,90,1,4,40,0,1
5000962,ABI - FÍSICA,0,0,1,0,0,0
5001029,ABI - FÍSICA,49,3,5,24,2,3
5001031,ABI - FÍSICA,57,1,8,12,1,4
5001041,ABI - FÍSICA,26,6,16,9,1,5
5001114,ABI - FÍSICA,13,4,33,1,1,11
5001121,ABI - FÍSICA,2,0,14,0,0,0
