curso_codigo,curso_nome,masc_branca,masc_preta,masc_parda,fem_branca,fem_preta,fem_parda
2915,ABI - ARTES CÊNICAS,21,1,3,24,2,3
5000645,ABI - ARTES CÊNICAS,31,7,22,47,4,29
5000918,ABI - ARTES CÊNICAS,6,1,8,2,1,5
5001112,ABI - ARTES CÊNICAS,13,3,1,33,0,4
2922,ABI - ARTES VISUAIS,32,2,9,57,1,7
1177028,ABI - ARTES VISUAIS,10,2,1,18,2,4
5000748,ABI - ARTES VISUAIS,70,3,12,112,7,11
5000971,ABI - ARTES VISUAIS,0,0,0,2,0,0
5001026,ABI - ARTES VISUAIS,16,0,9,35,1,6
5001169,ABI - ARTES VISUAIS,1,1,2,1,0,1
5000608,ABI - CIÊNCIAS BIOLÓGICAS,5,0,0,11,0,2
5000620,ABI - CIÊNCIAS BIOLÓGICAS,73,3,6,115,9,13
5000632,ABI - CIÊNCIAS BIOLÓGICAS,28,3,20,37,5,23
5000646,ABI - CIÊNCIAS BIOLÓGICAS,41,3,15,90,6,40
5000658,ABI - CIÊNCIAS BIOLÓGICAS,4,0,3,5,1,3
5000669,ABI - CIÊNCIAS BIOLÓGICAS,94,3,29,135,13,43
5000745,ABI - CIÊNCIAS BIOLÓGICAS,74,0,1,140,1,1
5000755,ABI - CIÊNCIAS BIOLÓGICAS,66,1,3,104,3,4
5000756,ABI - CIÊNCIAS BIOLÓGICAS,62,0,7,113,2,7
5000765,ABI - CIÊNCIAS BIOLÓGICAS,62,1,5,93,2,10
5000768,ABI - CIÊNCIAS BIOLÓGICAS,45,3,3,61,1,6
5000824,ABI - CIÊNCIAS BIOLÓGICAS,65,1,6,77,2,9
5000847,ABI - CIÊNCIAS BIOLÓGICAS,82,1,12,103,1,16
5000848,ABI - CIÊNCIAS BIOLÓGICAS,75,0,8,110,0,9
5001027,ABI - CIÊNCIAS BIOLÓGICAS,19,0,0,55,0,2
5001124,ABI - CIÊNCIAS BIOLÓGICAS,2,0,0,13,0,1
5001175,ABI - CIÊNCIAS BIOLÓGICAS,0,0,1,1,0,0
44249,ABI - CIÊNCIAS DA NATUREZA,45,15,19,123,22,58
1106847,ABI - CIÊNCIAS DA NATUREZA,26,7,16,30,3,16
2928,ABI - CIÊNCIAS EXATAS,50,6,7,43,1,7
5000602,ABI - CIÊNCIAS SOCIAIS,6,2,5,8,2,10
5000609,ABI - CIÊNCIAS SOCIAIS,1,0,1,0,0,1
5000622,ABI - CIÊNCIAS SOCIAIS,121,5,12,104,4,9
5000635,ABI - CIÊNCIAS SOCIAIS,22,5,23,17,8,18
5000659,ABI - CIÊNCIAS SOCIAIS,1,0,1,1,1,2
5000738,ABI - CIÊNCIAS SOCIAIS,171,23,29,143,19,26
5000746,ABI - CIÊNCIAS SOCIAIS,146,20,50,179,21,40
5000903,ABI - CIÊNCIAS SOCIAIS,3,0,2,4,1,5
5000922,ABI - CIÊNCIAS SOCIAIS,9,4,4,13,2,10
5001113,ABI - CIÊNCIAS SOCIAIS,4,1,5,15,1,8
5001116,ABI - CIÊNCIAS SOCIAIS,10,3,17,12,4,16
5001125,ABI - CIÊNCIAS SOCIAIS,5,1,1,8,0,2
5000939,ABI - CONSTRUÇÃO CIVIL,2,0,0,1,0,0
5000603,ABI - DANÇA,0,2,0,9,1,3
5000741,ABI - DESIGN,197,3,13,165,2,5
91601,ABI - ECONOMIA EMPRESARIAL E CONTROLADORIA,130,4,15,86,0,2
5000599,ABI - EDUCAÇÃO FÍSICA,43,7,14,15,5,12
5000751,ABI - EDUCAÇÃO FÍSICA,127,7,11,113,6,12
